,image,superpixels,compactness,model,shap_value,background,predicted,predicted_variance,error term
2,Llama.png,9,100,alexnet,0.09720289588188513,mean,10.613957549719188,1.2819857994608708,0.4250546255545993
3,Llama.png,9,100,alexnet,2.9619751051167635,mean,10.613957549719188,1.2819857994608708,0.4250546255545993
4,Llama.png,9,100,alexnet,0.590666842096736,mean,10.613957549719188,1.2819857994608708,0.4250546255545993
5,Llama.png,9,100,alexnet,0.2489673367829226,mean,10.613957549719188,1.2819857994608708,0.4250546255545993
6,Llama.png,9,100,alexnet,4.327522049289978,mean,10.613957549719188,1.2819857994608708,0.4250546255545993
7,Llama.png,9,100,alexnet,2.086888762979579,mean,10.613957549719188,1.2819857994608708,0.4250546255545993
8,Llama.png,9,100,alexnet,3.1620218454343645,mean,10.613957549719188,1.2819857994608708,0.4250546255545993
0,Llama.png,9,1000,alexnet,2.5462434341221183,0,9.383273821149498,1.1454128140506763,0.46257366387701415
1,Llama.png,9,1000,alexnet,2.46306966152676,0,9.383273821149498,1.1454128140506763,0.46257366387701415
2,Llama.png,9,1000,alexnet,0.8406291049095738,0,9.383273821149498,1.1454128140506763,0.46257366387701415
3,Llama.png,9,1000,alexnet,1.5041998467852395,0,9.383273821149498,1.1454128140506763,0.46257366387701415
4,Llama.png,9,1000,alexnet,2.4872997374756425,0,9.383273821149498,1.1454128140506763,0.46257366387701415
5,Llama.png,9,1000,alexnet,1.1493563321483349,0,9.383273821149498,1.1454128140506763,0.46257366387701415
6,Llama.png,9,1000,alexnet,2.8236246865955543,0,9.383273821149498,1.1454128140506763,0.46257366387701415
7,Llama.png,9,1000,alexnet,1.4652218171307783,0,9.383273821149498,1.1454128140506763,0.46257366387701415
8,Llama.png,9,1000,alexnet,3.7590795280872857,0,9.383273821149498,1.1454128140506763,0.46257366387701415
0,Llama.png,9,1000,alexnet,2.570678611529684,mean,10.300970620466865,1.1412737329260816,0.4790237594718991
1,Llama.png,9,1000,alexnet,3.7789720272334373,mean,10.300970620466865,1.1412737329260816,0.4790237594718991
2,Llama.png,9,1000,alexnet,0.21435223242911539,mean,10.300970620466865,1.1412737329260816,0.4790237594718991
3,Llama.png,9,1000,alexnet,1.506459953372739,mean,10.300970620466865,1.1412737329260816,0.4790237594718991
4,Llama.png,9,1000,alexnet,1.9730402596818675,mean,10.300970620466865,1.1412737329260816,0.4790237594718991
5,Llama.png,9,1000,alexnet,0.7260525988196239,mean,10.300970620466865,1.1412737329260816,0.4790237594718991
6,Llama.png,9,1000,alexnet,2.876831346010544,mean,10.300970620466865,1.1412737329260816,0.4790237594718991
7,Llama.png,9,1000,alexnet,2.119928729503683,mean,10.300970620466865,1.1412737329260816,0.4790237594718991
