,image,superpixels,compactness,model,shap_value,predicted,predicted_var,P(e = 0)
7,Llama.png,40,10,alexnet,0.2506483374036037,[10.30399689],[1.63485535],0.344669508202719
8,Llama.png,40,10,alexnet,0.5172219016690436,[10.30399689],[1.63485535],0.344669508202719
9,Llama.png,40,10,alexnet,0.8829675615834964,[10.30399689],[1.63485535],0.344669508202719
10,Llama.png,40,10,alexnet,0.6623438633992973,[10.30399689],[1.63485535],0.344669508202719
11,Llama.png,40,10,alexnet,-0.7735133637076412,[10.30399689],[1.63485535],0.344669508202719
12,Llama.png,40,10,alexnet,-2.8576745156150185,[10.30399689],[1.63485535],0.344669508202719
13,Llama.png,40,10,alexnet,-0.40557450041597676,[10.30399689],[1.63485535],0.344669508202719
14,Llama.png,40,10,alexnet,-0.6947989248715611,[10.30399689],[1.63485535],0.344669508202719
15,Llama.png,40,10,alexnet,-0.7369478268065839,[10.30399689],[1.63485535],0.344669508202719
16,Llama.png,40,10,alexnet,-0.09315415308260899,[10.30399689],[1.63485535],0.344669508202719
17,Llama.png,40,10,alexnet,-0.46276641465065893,[10.30399689],[1.63485535],0.344669508202719
18,Llama.png,40,10,alexnet,-1.1767062830742647,[10.30399689],[1.63485535],0.344669508202719
19,Llama.png,40,10,alexnet,1.5222646238986441,[10.30399689],[1.63485535],0.344669508202719
20,Llama.png,40,10,alexnet,-0.08838537246681266,[10.30399689],[1.63485535],0.344669508202719
21,Llama.png,40,10,alexnet,-0.36681866074219194,[10.30399689],[1.63485535],0.344669508202719
22,Llama.png,40,10,alexnet,1.5970532353580098,[10.30399689],[1.63485535],0.344669508202719
23,Llama.png,40,10,alexnet,0.7987188420590652,[10.30399689],[1.63485535],0.344669508202719
24,Llama.png,40,10,alexnet,0.7792422058390827,[10.30399689],[1.63485535],0.344669508202719
25,Llama.png,40,10,alexnet,1.5082627287491652,[10.30399689],[1.63485535],0.344669508202719
26,Llama.png,40,10,alexnet,0.5915258315045295,[10.30399689],[1.63485535],0.344669508202719
27,Llama.png,40,10,alexnet,1.963035222481878,[10.30399689],[1.63485535],0.344669508202719
28,Llama.png,40,10,alexnet,0.6161326669699845,[10.30399689],[1.63485535],0.344669508202719
29,Llama.png,40,10,alexnet,2.3123818113140677,[10.30399689],[1.63485535],0.344669508202719
30,Llama.png,40,10,alexnet,1.6824130716725243,[10.30399689],[1.63485535],0.344669508202719
31,Llama.png,40,10,alexnet,2.155486534076486,[10.30399689],[1.63485535],0.344669508202719
0,Llama.png,40,10,alexnet,0.05783129407041798,[10.303997],[1.8807546],0.2996056951896759
1,Llama.png,40,10,alexnet,-0.19116724154679066,[10.303997],[1.8807546],0.2996056951896759
2,Llama.png,40,10,alexnet,0.23649365161614444,[10.303997],[1.8807546],0.2996056951896759
3,Llama.png,40,10,alexnet,0.04118279835122873,[10.303997],[1.8807546],0.2996056951896759
4,Llama.png,40,10,alexnet,-0.03959849992099507,[10.303997],[1.8807546],0.2996056951896759
5,Llama.png,40,10,alexnet,-0.08436401546740946,[10.303997],[1.8807546],0.2996056951896759
6,Llama.png,40,10,alexnet,8.504908454312453,[10.303997],[1.8807546],0.2996056951896759
7,Llama.png,40,10,alexnet,-0.4664152905243917,[10.303997],[1.8807546],0.2996056951896759
8,Llama.png,40,10,alexnet,0.05103335534016207,[10.303997],[1.8807546],0.2996056951896759
9,Llama.png,40,10,alexnet,-0.2476880191755999,[10.303997],[1.8807546],0.2996056951896759
10,Llama.png,40,10,alexnet,-0.0662612094229651,[10.303997],[1.8807546],0.2996056951896759
11,Llama.png,40,10,alexnet,0.16959135114984392,[10.303997],[1.8807546],0.2996056951896759
12,Llama.png,40,10,alexnet,-0.0447668331472304,[10.303997],[1.8807546],0.2996056951896759
13,Llama.png,40,10,alexnet,-0.16076355293719669,[10.303997],[1.8807546],0.2996056951896759
14,Llama.png,40,10,alexnet,2.153340033369774,[10.303997],[1.8807546],0.2996056951896759
15,Llama.png,40,10,alexnet,0.08191321839475574,[10.303997],[1.8807546],0.2996056951896759
16,Llama.png,40,10,alexnet,0.028715583896052443,[10.303997],[1.8807546],0.2996056951896759
17,Llama.png,40,10,alexnet,-0.06323459915765994,[10.303997],[1.8807546],0.2996056951896759
18,Llama.png,40,10,alexnet,0.058630332891796755,[10.303997],[1.8807546],0.2996056951896759
19,Llama.png,40,10,alexnet,0.5228545101410704,[10.303997],[1.8807546],0.2996056951896759
20,Llama.png,40,10,alexnet,-0.3178387690425435,[10.303997],[1.8807546],0.2996056951896759
21,Llama.png,40,10,alexnet,0.01608629049498944,[10.303997],[1.8807546],0.2996056951896759
22,Llama.png,40,10,alexnet,3.236645177523701,[10.303997],[1.8807546],0.2996056951896759
23,Llama.png,40,10,alexnet,0.9058741113627327,[10.303997],[1.8807546],0.2996056951896759
24,Llama.png,40,10,alexnet,2.505269985055911,[10.303997],[1.8807546],0.2996056951896759
25,Llama.png,40,10,alexnet,0.8692573584951298,[10.303997],[1.8807546],0.2996056951896759
26,Llama.png,40,10,alexnet,0.8657339273813038,[10.303997],[1.8807546],0.2996056951896759
27,Llama.png,40,10,alexnet,0.11905502112380972,[10.303997],[1.8807546],0.2996056951896759
28,Llama.png,40,10,alexnet,0.5873110863207502,[10.303997],[1.8807546],0.2996056951896759
29,Llama.png,40,10,alexnet,0.6740733772567888,[10.303997],[1.8807546],0.2996056951896759
30,Llama.png,40,10,alexnet,-0.5493646369759437,[10.303997],[1.8807546],0.2996056951896759
31,Llama.png,40,10,alexnet,-0.2742632471102322,[10.303997],[1.8807546],0.2996056951896759
0,Llama.png,40,1000,alexnet,0.8237066380504801,[10.30399698],[1.35773236],0.41501904660786104
1,Llama.png,40,1000,alexnet,0.8232661534099472,[10.30399698],[1.35773236],0.41501904660786104
2,Llama.png,40,1000,alexnet,0.8739629803486797,[10.30399698],[1.35773236],0.41501904660786104
3,Llama.png,40,1000,alexnet,0.7081532987197772,[10.30399698],[1.35773236],0.41501904660786104
4,Llama.png,40,1000,alexnet,0.605410777460198,[10.30399698],[1.35773236],0.41501904660786104
5,Llama.png,40,1000,alexnet,0.9663058696454669,[10.30399698],[1.35773236],0.41501904660786104
6,Llama.png,40,1000,alexnet,0.915531496631925,[10.30399698],[1.35773236],0.41501904660786104
7,Llama.png,40,1000,alexnet,0.6541887492954901,[10.30399698],[1.35773236],0.41501904660786104
8,Llama.png,40,1000,alexnet,0.6128147647962998,[10.30399698],[1.35773236],0.41501904660786104
9,Llama.png,40,1000,alexnet,0.30608276946244484,[10.30399698],[1.35773236],0.41501904660786104
10,Llama.png,40,1000,alexnet,0.34375921357144534,[10.30399698],[1.35773236],0.41501904660786104
11,Llama.png,40,1000,alexnet,0.48596543032852724,[10.30399698],[1.35773236],0.41501904660786104
12,Llama.png,40,1000,alexnet,0.49209359750555004,[10.30399698],[1.35773236],0.41501904660786104
13,Llama.png,40,1000,alexnet,-0.013215592911582696,[10.30399698],[1.35773236],0.41501904660786104
14,Llama.png,40,1000,alexnet,-0.16872222033818884,[10.30399698],[1.35773236],0.41501904660786104
15,Llama.png,40,1000,alexnet,-0.08124134588337739,[10.30399698],[1.35773236],0.41501904660786104
16,Llama.png,40,1000,alexnet,0.1130609308745858,[10.30399698],[1.35773236],0.41501904660786104
17,Llama.png,40,1000,alexnet,0.8701774810168477,[10.30399698],[1.35773236],0.41501904660786104
18,Llama.png,40,1000,alexnet,0.8519367268192597,[10.30399698],[1.35773236],0.41501904660786104
19,Llama.png,40,1000,alexnet,-0.21583237747940753,[10.30399698],[1.35773236],0.41501904660786104
20,Llama.png,40,1000,alexnet,0.22375860311415874,[10.30399698],[1.35773236],0.41501904660786104
21,Llama.png,40,1000,alexnet,-0.6759606743214501,[10.30399698],[1.35773236],0.41501904660786104
22,Llama.png,40,1000,alexnet,-0.5994351384219119,[10.30399698],[1.35773236],0.41501904660786104
23,Llama.png,40,1000,alexnet,1.258006914918158,[10.30399698],[1.35773236],0.41501904660786104
24,Llama.png,40,1000,alexnet,0.777431475838759,[10.30399698],[1.35773236],0.41501904660786104
25,Llama.png,40,1000,alexnet,-0.4104174759503749,[10.30399698],[1.35773236],0.41501904660786104
26,Llama.png,40,1000,alexnet,-0.44187596380626815,[10.30399698],[1.35773236],0.41501904660786104
27,Llama.png,40,1000,alexnet,-0.24979340528862792,[10.30399698],[1.35773236],0.41501904660786104
28,Llama.png,40,1000,alexnet,0.2867523237105103,[10.30399698],[1.35773236],0.41501904660786104
29,Llama.png,40,1000,alexnet,1.2601279381437918,[10.30399698],[1.35773236],0.41501904660786104
30,Llama.png,40,1000,alexnet,0.08668580466614184,[10.30399698],[1.35773236],0.41501904660786104
31,Llama.png,40,1000,alexnet,1.5738964409937921,[10.30399698],[1.35773236],0.41501904660786104
32,Llama.png,40,1000,alexnet,0.5918706873117126,[10.30399698],[1.35773236],0.41501904660786104
33,Llama.png,40,1000,alexnet,1.7548647476269332,[10.30399698],[1.35773236],0.41501904660786104
34,Llama.png,40,1000,alexnet,1.0573363343005844,[10.30399698],[1.35773236],0.41501904660786104
35,Llama.png,40,1000,alexnet,2.079496115151196,[10.30399698],[1.35773236],0.41501904660786104
0,Llama.png,40,1000,alexnet,0.2474879559501506,[10.30399698],[1.74078829],0.32369518726466545
1,Llama.png,40,1000,alexnet,-0.04533403692844029,[10.30399698],[1.74078829],0.32369518726466545
2,Llama.png,40,1000,alexnet,0.039498305005361445,[10.30399698],[1.74078829],0.32369518726466545
3,Llama.png,40,1000,alexnet,-0.022511082027538265,[10.30399698],[1.74078829],0.32369518726466545
4,Llama.png,40,1000,alexnet,-0.18412294059120526,[10.30399698],[1.74078829],0.32369518726466545
