,image,superpixels,compactness,model,pixel_index,shap_value,cred_width
46,Llama.png,50,1000,alexnet,46,0.6701229595272271,9.3976251404928
47,Llama.png,50,1000,alexnet,47,0.9481534574642838,9.286879530210477
48,Llama.png,50,1000,alexnet,48,1.5005575224600927,9.543015990658848
0,Llama.png,40,1000,alexnet,0,0.8237064770945728,7.831560888494982
1,Llama.png,40,1000,alexnet,1,0.8232667018632478,7.9487015551521525
2,Llama.png,40,1000,alexnet,2,0.8739636114293803,7.916115484375594
3,Llama.png,40,1000,alexnet,3,0.7081531318656991,7.970782876935731
4,Llama.png,40,1000,alexnet,4,0.6054106845597258,8.073816018203395
5,Llama.png,40,1000,alexnet,5,0.9663064968060526,7.847115615350702
6,Llama.png,40,1000,alexnet,6,0.9155314239323089,8.008531700778953
7,Llama.png,40,1000,alexnet,7,0.6541885741352527,7.947787653306912
8,Llama.png,40,1000,alexnet,8,0.6128146048190275,7.929806853066877
9,Llama.png,40,1000,alexnet,9,0.3060826003100203,7.966313874959199
10,Llama.png,40,1000,alexnet,10,0.34375916192068434,8.053916707960703
11,Llama.png,40,1000,alexnet,11,0.48596520959658607,7.90496594215219
12,Llama.png,40,1000,alexnet,12,0.49209338747850495,7.864696690135431
13,Llama.png,40,1000,alexnet,13,-0.013215838159455373,7.952494159261522
14,Llama.png,40,1000,alexnet,14,-0.16872236130786344,7.876185963599596
15,Llama.png,40,1000,alexnet,15,-0.08124139884127946,7.94404660393306
16,Llama.png,40,1000,alexnet,16,0.11306150378319035,7.888951893392318
17,Llama.png,40,1000,alexnet,17,0.8701773025583357,7.8596695833686265
18,Llama.png,40,1000,alexnet,18,0.8519371960138447,7.898441745100761
19,Llama.png,40,1000,alexnet,19,-0.21583259660280696,8.004076711057394
20,Llama.png,40,1000,alexnet,20,0.22375837519264152,7.784383057897439
21,Llama.png,40,1000,alexnet,21,-0.675960809221591,7.984426684838809
22,Llama.png,40,1000,alexnet,22,-0.599435183092873,7.796129850185594
23,Llama.png,40,1000,alexnet,23,1.2580068641149,7.864740129265787
24,Llama.png,40,1000,alexnet,24,0.7774320370633792,7.8878952103935704
25,Llama.png,40,1000,alexnet,25,-0.4104167971506305,7.767171025519813
26,Llama.png,40,1000,alexnet,26,-0.4418762575745969,7.934129869572711
27,Llama.png,40,1000,alexnet,27,-0.24979353028477025,7.915627059498014
28,Llama.png,40,1000,alexnet,28,0.28675210038269316,7.940033522892896
29,Llama.png,40,1000,alexnet,29,1.2601277200938874,7.834717421680055
30,Llama.png,40,1000,alexnet,30,0.08668559660484565,7.859512907780731
31,Llama.png,40,1000,alexnet,31,1.5738962231496432,7.89854616687063
32,Llama.png,40,1000,alexnet,32,0.5918712214803756,7.860211943181302
33,Llama.png,40,1000,alexnet,33,1.7548645700401702,7.830164134584532
34,Llama.png,40,1000,alexnet,34,1.0573361393978766,7.95527326499805
35,Llama.png,40,1000,alexnet,35,2.079495914225456,7.991260059807583
0,Llama.png,30,1000,alexnet,0,0.7442798240254502,7.02503487118546
1,Llama.png,30,1000,alexnet,1,0.4578541679861323,7.041713531939116
2,Llama.png,30,1000,alexnet,2,0.6965748867419781,7.074560637058783
3,Llama.png,30,1000,alexnet,3,0.1612507697888912,7.071484016172053
4,Llama.png,30,1000,alexnet,4,0.8752308980254861,6.93917697668209
5,Llama.png,30,1000,alexnet,5,1.6543531051269063,6.950307150634579
6,Llama.png,30,1000,alexnet,6,0.6921815631579302,7.0787169322366905
7,Llama.png,30,1000,alexnet,7,0.8989881609052723,6.997306057558586
8,Llama.png,30,1000,alexnet,8,0.9011222800439906,6.997786202652501
9,Llama.png,30,1000,alexnet,9,1.3173811844644754,6.90973173441366
10,Llama.png,30,1000,alexnet,10,-1.0272711411467146,6.970035699969973
11,Llama.png,30,1000,alexnet,11,-0.41604716049925816,7.126791146602515
12,Llama.png,30,1000,alexnet,12,1.5423976652347728,7.031443669873039
13,Llama.png,30,1000,alexnet,13,0.8564581155668121,6.9578423194295755
14,Llama.png,30,1000,alexnet,14,0.04925608326099962,7.04804244867917
15,Llama.png,30,1000,alexnet,15,-1.0427823821135993,7.0044389240877525
16,Llama.png,30,1000,alexnet,16,-0.4284099739232756,6.995627609626124
17,Llama.png,30,1000,alexnet,17,1.3036031137930322,6.913184953253152
18,Llama.png,30,1000,alexnet,18,0.7681559253665435,7.014614212648216
19,Llama.png,30,1000,alexnet,19,-0.14147874358501422,7.091072924228931
20,Llama.png,30,1000,alexnet,20,1.32814365779856,6.999944919058649
21,Llama.png,30,1000,alexnet,21,1.4843338413425036,7.0132504906466355
22,Llama.png,30,1000,alexnet,22,2.6401450608091217,6.975087834593525
23,Llama.png,30,1000,alexnet,23,2.4259849789317203,6.945748206055035
24,Llama.png,30,1000,alexnet,24,0.9626585907248977,6.973703289491546
0,Llama.png,20,1000,alexnet,0,0.7006303033373156,5.670085467020022
1,Llama.png,20,1000,alexnet,1,0.7400552532266431,5.734499468632454
2,Llama.png,20,1000,alexnet,2,0.8872696434400877,5.6710130901621065
3,Llama.png,20,1000,alexnet,3,1.4189795686138367,5.6686789600007685
4,Llama.png,20,1000,alexnet,4,0.37639601451340043,5.648881423175378
5,Llama.png,20,1000,alexnet,5,0.23980107873222778,5.672643228860794
6,Llama.png,20,1000,alexnet,6,-0.3724897115755992,5.717693627361868
7,Llama.png,20,1000,alexnet,7,1.3675160231898582,5.63141039938477
8,Llama.png,20,1000,alexnet,8,1.1797875990159068,5.630889562647136
9,Llama.png,20,1000,alexnet,9,-0.10312241205497763,5.7050657750797305
10,Llama.png,20,1000,alexnet,10,1.2265623807094568,5.653860551574139
11,Llama.png,20,1000,alexnet,11,1.7300429581946672,5.720587975323669
12,Llama.png,20,1000,alexnet,12,2.9177663400462333,5.590870899298704
13,Llama.png,20,1000,alexnet,13,2.093715403108124,5.6407298971406
14,Llama.png,20,1000,alexnet,14,1.2842461908712983,5.704936193593997
15,Llama.png,20,1000,alexnet,15,3.3243624141400607,5.618311647550346
0,Llama.png,10,1000,alexnet,0,2.1860463763457876,2.79038638240193
1,Llama.png,10,1000,alexnet,1,2.5338985382164214,2.8701731682054286
2,Llama.png,10,1000,alexnet,2,0.7768417835108343,2.720296681813808
3,Llama.png,10,1000,alexnet,3,0.9010408632347844,2.8869168629771487
4,Llama.png,10,1000,alexnet,4,2.164991878759702,2.750971730567776
5,Llama.png,10,1000,alexnet,5,1.8509493327066948,2.5098740308681524
6,Llama.png,10,1000,alexnet,6,2.9704466881117977,2.756704549070247
7,Llama.png,10,1000,alexnet,7,2.4322401985154922,2.7659966863648746
8,Llama.png,10,1000,alexnet,8,3.3571486210312895,2.7668772444836045
0,Llama.png,10,1000,resnet152,0,1.269236513489062,1.0235399725701935
1,Llama.png,10,1000,resnet152,1,-0.2982250011515197,0.9023488417208957
2,Llama.png,10,1000,resnet152,2,-0.2693897003786485,1.0157153990469394
3,Llama.png,10,1000,resnet152,3,0.7430779875774591,0.9611788340458243
4,Llama.png,10,1000,resnet152,4,0.8966788092045244,1.0152152797330194
5,Llama.png,10,1000,resnet152,5,0.8948048282742491,1.0075632121468285
6,Llama.png,10,1000,resnet152,6,0.5392011714708088,1.045216524728104
7,Llama.png,10,1000,resnet152,7,0.37034716420832836,0.8990574308046984
8,Llama.png,10,1000,resnet152,8,0.8731500539207846,1.0711973928394072
0,Llama.png,20,1000,resnet152,0,-1.755778078715823,4.89751087037173
1,Llama.png,20,1000,resnet152,1,2.731325113565548,4.941161829734677
2,Llama.png,20,1000,resnet152,2,-1.247119458571519,5.016703182399677
3,Llama.png,20,1000,resnet152,3,-1.3083399372103819,4.923596720889956
4,Llama.png,20,1000,resnet152,4,-1.510470680413376,4.892642382613339
5,Llama.png,20,1000,resnet152,5,3.2775035934607804,4.974088979728192
6,Llama.png,20,1000,resnet152,6,-2.028850103321539,4.968878201163406
7,Llama.png,20,1000,resnet152,7,-1.655865006979682,4.936979476496587
8,Llama.png,20,1000,resnet152,8,-1.5118091895569452,4.9583900383142705
9,Llama.png,20,1000,resnet152,9,2.1048661053402498,4.931786681031006
10,Llama.png,20,1000,resnet152,10,2.374348722790762,4.900760309434233
11,Llama.png,20,1000,resnet152,11,1.8471173938054393,4.9317183670946365
12,Llama.png,20,1000,resnet152,12,1.8745614125008647,4.95707677180182
13,Llama.png,20,1000,resnet152,13,-0.3592758104886622,4.972729162219795
14,Llama.png,20,1000,resnet152,14,1.712965402412538,4.924644882326005
15,Llama.png,20,1000,resnet152,15,2.048288773975246,4.909587186567214
0,Llama.png,30,1000,resnet152,0,-1.6823932857096864,6.709809666574476
1,Llama.png,30,1000,resnet152,1,2.9347918676766844,6.608228334852054
2,Llama.png,30,1000,resnet152,2,-0.12563353211113526,6.514737529133689
3,Llama.png,30,1000,resnet152,3,-0.7448630708588198,6.597491364126127
4,Llama.png,30,1000,resnet152,4,-1.4141436682371613,6.694547199578193
5,Llama.png,30,1000,resnet152,5,-0.5361773040179223,6.584881173613699
6,Llama.png,30,1000,resnet152,6,-1.3775826196801928,6.687871761611852
7,Llama.png,30,1000,resnet152,7,-1.2741765001486876,6.659052047980709
8,Llama.png,30,1000,resnet152,8,1.1499472810336235,6.533921451721232
9,Llama.png,30,1000,resnet152,9,-1.50003892416842,6.514875694531299
10,Llama.png,30,1000,resnet152,10,3.156350856078852,6.627667185998125
11,Llama.png,30,1000,resnet152,11,-1.309902302362024,6.637338841199535
12,Llama.png,30,1000,resnet152,12,-0.27197758072368305,6.565113013958057
13,Llama.png,30,1000,resnet152,13,-0.8599429230353022,6.552648276297853
14,Llama.png,30,1000,resnet152,14,2.191819115082245,6.662489870727513
15,Llama.png,30,1000,resnet152,15,1.5960273243648488,6.611077302514276
16,Llama.png,30,1000,resnet152,16,1.19248716552925,6.630106111132045
17,Llama.png,30,1000,resnet152,17,1.8519416554941395,6.618746362642754
18,Llama.png,30,1000,resnet152,18,-1.1620221483296467,6.4976911400000645
19,Llama.png,30,1000,resnet152,19,-1.3134101342610762,6.569852838744218
20,Llama.png,30,1000,resnet152,20,-0.2924573904681078,6.527596337765374
21,Llama.png,30,1000,resnet152,21,2.5259888874453607,6.507128572084894
22,Llama.png,30,1000,resnet152,22,1.8238865323472717,6.512135226579652
23,Llama.png,30,1000,resnet152,23,1.506621075821541,6.627390152357767
24,Llama.png,30,1000,resnet152,24,1.0467758686018045,6.636244863116275
0,Llama.png,40,1000,resnet152,0,-0.7919856510403891,7.702660003923833
1,Llama.png,40,1000,resnet152,1,-0.44854397342721697,7.637919347585078
2,Llama.png,40,1000,resnet152,2,-0.22612587306178256,7.716792511149283
3,Llama.png,40,1000,resnet152,3,-0.17598605499271747,7.674386209380314
4,Llama.png,40,1000,resnet152,4,-0.676634226042923,7.676609462163312
5,Llama.png,40,1000,resnet152,5,-0.528981861065108,7.839402610107744
6,Llama.png,40,1000,resnet152,6,-0.37811030419216207,7.87705840403202
7,Llama.png,40,1000,resnet152,7,0.5367791784480791,7.805162487739382
8,Llama.png,40,1000,resnet152,8,-1.3609181361220104,7.858302344025218
9,Llama.png,40,1000,resnet152,9,-0.6075803670488611,7.867582480759145
10,Llama.png,40,1000,resnet152,10,-0.7889515845774255,7.897739312983846
11,Llama.png,40,1000,resnet152,11,-0.504406655791847,7.588938547693254
12,Llama.png,40,1000,resnet152,12,-0.4603745103532333,7.6498716537856355
13,Llama.png,40,1000,resnet152,13,0.12756477293324586,7.701176334387268
14,Llama.png,40,1000,resnet152,14,3.1999944694377627,7.891254773039016
15,Llama.png,40,1000,resnet152,15,-0.9979052035467033,7.750273429561307
16,Llama.png,40,1000,resnet152,16,-0.8551166697677384,7.706460622487363
17,Llama.png,40,1000,resnet152,17,-0.5205538254528563,7.808687051248866
18,Llama.png,40,1000,resnet152,18,-0.11579004492593503,7.739850817822961
19,Llama.png,40,1000,resnet152,19,0.31897114507058255,7.747831859131454
20,Llama.png,40,1000,resnet152,20,0.9532029120810472,7.733541183785262
21,Llama.png,40,1000,resnet152,21,1.0557812016391357,7.817201135505758
22,Llama.png,40,1000,resnet152,22,2.0790608548704648,7.760883294464763
23,Llama.png,40,1000,resnet152,23,1.3039297514058583,7.856091195442307
24,Llama.png,40,1000,resnet152,24,-0.4770059958632382,7.742485682723264
25,Llama.png,40,1000,resnet152,25,-0.4836897596739451,7.815608909388731
26,Llama.png,40,1000,resnet152,26,-0.1228204628640297,7.835039544475355
27,Llama.png,40,1000,resnet152,27,-0.32893449755222015,7.782921203719869
28,Llama.png,40,1000,resnet152,28,-0.8055231664965143,7.842866279621781
29,Llama.png,40,1000,resnet152,29,1.4992378869115837,7.7083320270805675
30,Llama.png,40,1000,resnet152,30,1.3537906097746903,7.6923739744138615
31,Llama.png,40,1000,resnet152,31,2.1207227739420236,7.868247660203412
32,Llama.png,40,1000,resnet152,32,0.8619560520603748,7.737768881488891
33,Llama.png,40,1000,resnet152,33,0.7072031080451424,7.799695505343035
34,Llama.png,40,1000,resnet152,34,3.2432238454830937,7.6356075997365505
