,image,superpixels,compactness,model,shap_value,background,predicted,predicted_var,P(e = 0)
5,Llama.png,20,1000,resnet152,5.348676057144887,mean,1.544031051898231,1.0759138321011803,0.5235626400799094
6,Llama.png,20,1000,resnet152,-2.6750453596368606,mean,1.544031051898231,1.0759138321011803,0.5235626400799094
7,Llama.png,20,1000,resnet152,-2.330605513865579,mean,1.544031051898231,1.0759138321011803,0.5235626400799094
8,Llama.png,20,1000,resnet152,-1.7133195505022973,mean,1.544031051898231,1.0759138321011803,0.5235626400799094
9,Llama.png,20,1000,resnet152,1.6808221393475207,mean,1.544031051898231,1.0759138321011803,0.5235626400799094
10,Llama.png,20,1000,resnet152,3.8541768875680997,mean,1.544031051898231,1.0759138321011803,0.5235626400799094
11,Llama.png,20,1000,resnet152,2.239007651588504,mean,1.544031051898231,1.0759138321011803,0.5235626400799094
12,Llama.png,20,1000,resnet152,2.3650212373730164,mean,1.544031051898231,1.0759138321011803,0.5235626400799094
13,Llama.png,20,1000,resnet152,-0.8115475689360983,mean,1.544031051898231,1.0759138321011803,0.5235626400799094
14,Llama.png,20,1000,resnet152,1.3139486389596238,mean,1.544031051898231,1.0759138321011803,0.5235626400799094
15,Llama.png,20,1000,resnet152,1.3296743553311612,mean,1.544031051898231,1.0759138321011803,0.5235626400799094
0,Llama.png,30,10,resnet152,-0.5018755137373754,0,1.538912980000556,0.8646579715976804,0.6516706520745498
1,Llama.png,30,10,resnet152,0.8775320359106393,0,1.538912980000556,0.8646579715976804,0.6516706520745498
2,Llama.png,30,10,resnet152,0.10191027142132825,0,1.538912980000556,0.8646579715976804,0.6516706520745498
3,Llama.png,30,10,resnet152,0.0016222504868972365,0,1.538912980000556,0.8646579715976804,0.6516706520745498
4,Llama.png,30,10,resnet152,0.40618067498227317,0,1.538912980000556,0.8646579715976804,0.6516706520745498
5,Llama.png,30,10,resnet152,3.4432876538919484,0,1.538912980000556,0.8646579715976804,0.6516706520745498
6,Llama.png,30,10,resnet152,0.01063995568174958,0,1.538912980000556,0.8646579715976804,0.6516706520745498
7,Llama.png,30,10,resnet152,0.34592431786180233,0,1.538912980000556,0.8646579715976804,0.6516706520745498
8,Llama.png,30,10,resnet152,3.6730447177094576,0,1.538912980000556,0.8646579715976804,0.6516706520745498
9,Llama.png,30,10,resnet152,0.6224771976782622,0,1.538912980000556,0.8646579715976804,0.6516706520745498
10,Llama.png,30,10,resnet152,0.9387213929462961,0,1.538912980000556,0.8646579715976804,0.6516706520745498
11,Llama.png,30,10,resnet152,-0.11618648909724438,0,1.538912980000556,0.8646579715976804,0.6516706520745498
12,Llama.png,30,10,resnet152,-0.25847715176934916,0,1.538912980000556,0.8646579715976804,0.6516706520745498
13,Llama.png,30,10,resnet152,-0.7123151286888909,0,1.538912980000556,0.8646579715976804,0.6516706520745498
14,Llama.png,30,10,resnet152,-1.6819575884339102,0,1.538912980000556,0.8646579715976804,0.6516706520745498
15,Llama.png,30,10,resnet152,-0.5864009117263742,0,1.538912980000556,0.8646579715976804,0.6516706520745498
16,Llama.png,30,10,resnet152,-0.38489483219220455,0,1.538912980000556,0.8646579715976804,0.6516706520745498
17,Llama.png,30,10,resnet152,0.34133201762354126,0,1.538912980000556,0.8646579715976804,0.6516706520745498
18,Llama.png,30,10,resnet152,1.0279112405893631,0,1.538912980000556,0.8646579715976804,0.6516706520745498
19,Llama.png,30,10,resnet152,0.4369085452731247,0,1.538912980000556,0.8646579715976804,0.6516706520745498
0,Llama.png,30,10,resnet152,-0.7196714379206179,mean,1.5382907156170944,1.1866566697913552,0.47481566856321505
1,Llama.png,30,10,resnet152,5.257675908377269,mean,1.5382907156170944,1.1866566697913552,0.47481566856321505
2,Llama.png,30,10,resnet152,-0.3600707914235719,mean,1.5382907156170944,1.1866566697913552,0.47481566856321505
3,Llama.png,30,10,resnet152,-0.927903143388841,mean,1.5382907156170944,1.1866566697913552,0.47481566856321505
4,Llama.png,30,10,resnet152,-0.5863135238243542,mean,1.5382907156170944,1.1866566697913552,0.47481566856321505
5,Llama.png,30,10,resnet152,6.131323768075365,mean,1.5382907156170944,1.1866566697913552,0.47481566856321505
6,Llama.png,30,10,resnet152,-0.7248083219180916,mean,1.5382907156170944,1.1866566697913552,0.47481566856321505
7,Llama.png,30,10,resnet152,-0.9468617529273633,mean,1.5382907156170944,1.1866566697913552,0.47481566856321505
8,Llama.png,30,10,resnet152,4.132277396464183,mean,1.5382907156170944,1.1866566697913552,0.47481566856321505
9,Llama.png,30,10,resnet152,1.0614029220763581,mean,1.5382907156170944,1.1866566697913552,0.47481566856321505
10,Llama.png,30,10,resnet152,-0.78143385280308,mean,1.5382907156170944,1.1866566697913552,0.47481566856321505
11,Llama.png,30,10,resnet152,-0.014666695842362465,mean,1.5382907156170944,1.1866566697913552,0.47481566856321505
12,Llama.png,30,10,resnet152,0.6933057882847051,mean,1.5382907156170944,1.1866566697913552,0.47481566856321505
13,Llama.png,30,10,resnet152,-0.7851657645384789,mean,1.5382907156170944,1.1866566697913552,0.47481566856321505
14,Llama.png,30,10,resnet152,-2.1904438408236286,mean,1.5382907156170944,1.1866566697913552,0.47481566856321505
15,Llama.png,30,10,resnet152,1.121436614079954,mean,1.5382907156170944,1.1866566697913552,0.47481566856321505
16,Llama.png,30,10,resnet152,0.5326597713913142,mean,1.5382907156170944,1.1866566697913552,0.47481566856321505
17,Llama.png,30,10,resnet152,-0.49188056263048585,mean,1.5382907156170944,1.1866566697913552,0.47481566856321505
18,Llama.png,30,10,resnet152,-1.0796331637987997,mean,1.5382907156170944,1.1866566697913552,0.47481566856321505
19,Llama.png,30,10,resnet152,-1.2110256808686062,mean,1.5382907156170944,1.1866566697913552,0.47481566856321505
0,Llama.png,30,100,resnet152,-1.3704534882546202,0,1.5385543444711782,0.9280003119318511,0.6072028673636634
1,Llama.png,30,100,resnet152,2.530025800196143,0,1.5385543444711782,0.9280003119318511,0.6072028673636634
2,Llama.png,30,100,resnet152,0.06663044573302868,0,1.5385543444711782,0.9280003119318511,0.6072028673636634
3,Llama.png,30,100,resnet152,-0.7514357033298928,0,1.5385543444711782,0.9280003119318511,0.6072028673636634
4,Llama.png,30,100,resnet152,-1.1910764234688607,0,1.5385543444711782,0.9280003119318511,0.6072028673636634
5,Llama.png,30,100,resnet152,-0.36064753290736906,0,1.5385543444711782,0.9280003119318511,0.6072028673636634
6,Llama.png,30,100,resnet152,-0.9847241376988807,0,1.5385543444711782,0.9280003119318511,0.6072028673636634
7,Llama.png,30,100,resnet152,-0.051798735255122796,0,1.5385543444711782,0.9280003119318511,0.6072028673636634
8,Llama.png,30,100,resnet152,-1.2288717178148447,0,1.5385543444711782,0.9280003119318511,0.6072028673636634
9,Llama.png,30,100,resnet152,-1.2646874138795732,0,1.5385543444711782,0.9280003119318511,0.6072028673636634
10,Llama.png,30,100,resnet152,2.1308681926433657,0,1.5385543444711782,0.9280003119318511,0.6072028673636634
11,Llama.png,30,100,resnet152,3.130400979889939,0,1.5385543444711782,0.9280003119318511,0.6072028673636634
12,Llama.png,30,100,resnet152,-0.6925006431179201,0,1.5385543444711782,0.9280003119318511,0.6072028673636634
13,Llama.png,30,100,resnet152,-0.696607133011403,0,1.5385543444711782,0.9280003119318511,0.6072028673636634
14,Llama.png,30,100,resnet152,-1.3606356614571,0,1.5385543444711782,0.9280003119318511,0.6072028673636634
15,Llama.png,30,100,resnet152,1.0489164255289651,0,1.5385543444711782,0.9280003119318511,0.6072028673636634
16,Llama.png,30,100,resnet152,1.0468083238639123,0,1.5385543444711782,0.9280003119318511,0.6072028673636634
17,Llama.png,30,100,resnet152,-0.29661397483881036,0,1.5385543444711782,0.9280003119318511,0.6072028673636634
18,Llama.png,30,100,resnet152,1.8734509405134854,0,1.5385543444711782,0.9280003119318511,0.6072028673636634
19,Llama.png,30,100,resnet152,-1.0558047685415994,0,1.5385543444711782,0.9280003119318511,0.6072028673636634
20,Llama.png,30,100,resnet152,1.0780475269240342,0,1.5385543444711782,0.9280003119318511,0.6072028673636634
21,Llama.png,30,100,resnet152,0.22016342114715481,0,1.5385543444711782,0.9280003119318511,0.6072028673636634
22,Llama.png,30,100,resnet152,0.7850451433361627,0,1.5385543444711782,0.9280003119318511,0.6072028673636634
23,Llama.png,30,100,resnet152,3.141825608170325,0,1.5385543444711782,0.9280003119318511,0.6072028673636634
24,Llama.png,30,100,resnet152,1.5719813609564874,0,1.5385543444711782,0.9280003119318511,0.6072028673636634
0,Llama.png,30,100,resnet152,-0.922239550704739,mean,1.5385481051327528,0.9685467033583973,0.5817835130611437
1,Llama.png,30,100,resnet152,-1.0817894490336606,mean,1.5385481051327528,0.9685467033583973,0.5817835130611437
