,Unnamed: 0,image,superpixels,compactness,model,shap_value,predicted,predicted_var,P(e = 0)
62,8,Llama.png,20,1000,alexnet,1.1611422340945388,10.29899527,1.50629228,0.3739906720565412
63,9,Llama.png,20,1000,alexnet,-0.1729059829775083,10.29899527,1.50629228,0.3739906720565412
64,10,Llama.png,20,1000,alexnet,1.2479462585586083,10.29899527,1.50629228,0.3739906720565412
65,11,Llama.png,20,1000,alexnet,1.6938937339031055,10.29899527,1.50629228,0.3739906720565412
66,12,Llama.png,20,1000,alexnet,2.918363015717331,10.29899527,1.50629228,0.3739906720565412
67,13,Llama.png,20,1000,alexnet,2.0931051585672518,10.29899527,1.50629228,0.3739906720565412
68,14,Llama.png,20,1000,alexnet,1.293753543559677,10.29899527,1.50629228,0.3739906720565412
69,15,Llama.png,20,1000,alexnet,3.3015390566587413,10.29899527,1.50629228,0.3739906720565412
70,0,Llama.png,20,1000,alexnet,-0.4125381017467733,10.30457419,1.81077657,0.3111137931987988
71,1,Llama.png,20,1000,alexnet,2.848229881546977,10.30457419,1.81077657,0.3111137931987988
72,2,Llama.png,20,1000,alexnet,-0.9417017040544806,10.30457419,1.81077657,0.3111137931987988
73,3,Llama.png,20,1000,alexnet,-0.2974980612096622,10.30457419,1.81077657,0.3111137931987988
74,4,Llama.png,20,1000,alexnet,-0.1814764843343148,10.30457419,1.81077657,0.3111137931987988
75,5,Llama.png,20,1000,alexnet,4.82659751855986,10.30457419,1.81077657,0.3111137931987988
76,6,Llama.png,20,1000,alexnet,-0.7682523315088714,10.30457419,1.81077657,0.3111137931987988
77,7,Llama.png,20,1000,alexnet,-0.7206259707757585,10.30457419,1.81077657,0.3111137931987988
78,8,Llama.png,20,1000,alexnet,0.2064341833626275,10.30457419,1.81077657,0.3111137931987988
79,9,Llama.png,20,1000,alexnet,2.6973037336345644,10.30457419,1.81077657,0.3111137931987988
80,10,Llama.png,20,1000,alexnet,2.020962756897052,10.30457419,1.81077657,0.3111137931987988
81,11,Llama.png,20,1000,alexnet,2.190114637570222,10.30457419,1.81077657,0.3111137931987988
82,12,Llama.png,20,1000,alexnet,1.2337628648942816,10.30457419,1.81077657,0.3111137931987988
83,13,Llama.png,20,1000,alexnet,3.681814768532275,10.30457419,1.81077657,0.3111137931987988
84,14,Llama.png,20,1000,alexnet,1.5369150518424166,10.30457419,1.81077657,0.3111137931987988
85,15,Llama.png,20,1000,alexnet,2.0092362500158663,10.30457419,1.81077657,0.3111137931987988
86,0,Llama.png,30,10,alexnet,1.1477362274103893,10.30365612,1.55299589,0.3628265283118821
87,1,Llama.png,30,10,alexnet,0.5583035477320468,10.30365612,1.55299589,0.3628265283118821
88,2,Llama.png,30,10,alexnet,0.309509344559697,10.30365612,1.55299589,0.3628265283118821
89,3,Llama.png,30,10,alexnet,0.9825576989266968,10.30365612,1.55299589,0.3628265283118821
90,4,Llama.png,30,10,alexnet,2.179039408340984,10.30365612,1.55299589,0.3628265283118821
