,image,superpixels,compactness,model,shap_value,background,predicted,predicted_variance,error term,set_sp
1,broccoli_cauli.jpg,9,50,googlenet,0.10871484210776472,0,0.08117029551866073,0.035005642281742,13.700434443887405,10
2,broccoli_cauli.jpg,9,50,googlenet,-0.0746180446984295,0,0.08117029551866073,0.035005642281742,13.700434443887405,10
3,broccoli_cauli.jpg,9,50,googlenet,-0.03962905645652641,0,0.08117029551866073,0.035005642281742,13.700434443887405,10
4,broccoli_cauli.jpg,9,50,googlenet,0.13641956661906654,0,0.08117029551866073,0.035005642281742,13.700434443887405,10
5,broccoli_cauli.jpg,9,50,googlenet,-0.06622553357754837,0,0.08117029551866073,0.035005642281742,13.700434443887405,10
6,broccoli_cauli.jpg,9,50,googlenet,-0.018300366456660305,0,0.08117029551866073,0.035005642281742,13.700434443887405,10
7,broccoli_cauli.jpg,9,50,googlenet,0.07560042687211034,0,0.08117029551866073,0.035005642281742,13.700434443887405,10
8,broccoli_cauli.jpg,9,50,googlenet,-0.10389772148517962,0,0.08117029551866073,0.035005642281742,13.700434443887405,10
0,broccoli_cauli.jpg,9,50,googlenet,-0.022914415476577625,mean,0.05318146179882789,0.01518306919118427,34.68267056557085,10
1,broccoli_cauli.jpg,9,50,googlenet,0.041276783425815734,mean,0.05318146179882789,0.01518306919118427,34.68267056557085,10
2,broccoli_cauli.jpg,9,50,googlenet,-0.018186577115255103,mean,0.05318146179882789,0.01518306919118427,34.68267056557085,10
3,broccoli_cauli.jpg,9,50,googlenet,-0.019402560391675754,mean,0.05318146179882789,0.01518306919118427,34.68267056557085,10
4,broccoli_cauli.jpg,9,50,googlenet,0.0817827814057582,mean,0.05318146179882789,0.01518306919118427,34.68267056557085,10
5,broccoli_cauli.jpg,9,50,googlenet,-0.05308749762867006,mean,0.05318146179882789,0.01518306919118427,34.68267056557085,10
6,broccoli_cauli.jpg,9,50,googlenet,-0.003668055670078382,mean,0.05318146179882789,0.01518306919118427,34.68267056557085,10
7,broccoli_cauli.jpg,9,50,googlenet,0.024652368163143104,mean,0.05318146179882789,0.01518306919118427,34.68267056557085,10
8,broccoli_cauli.jpg,9,50,googlenet,-0.040405994289556844,mean,0.05318146179882789,0.01518306919118427,34.68267056557085,10
0,broccoli_cauli.jpg,9,50,googlenet,-0.036012019269697305,median,0.059003600417072435,0.016091668494895562,33.18620129257803,10
1,broccoli_cauli.jpg,9,50,googlenet,0.028080984726798805,median,0.059003600417072435,0.016091668494895562,33.18620129257803,10
2,broccoli_cauli.jpg,9,50,googlenet,-0.041083901105044576,median,0.059003600417072435,0.016091668494895562,33.18620129257803,10
3,broccoli_cauli.jpg,9,50,googlenet,-0.010859985970198053,median,0.059003600417072435,0.016091668494895562,33.18620129257803,10
4,broccoli_cauli.jpg,9,50,googlenet,0.08120267729731824,median,0.059003600417072435,0.016091668494895562,33.18620129257803,10
5,broccoli_cauli.jpg,9,50,googlenet,-0.03745327811898193,median,0.059003600417072435,0.016091668494895562,33.18620129257803,10
6,broccoli_cauli.jpg,9,50,googlenet,0.011360399790803083,median,0.059003600417072435,0.016091668494895562,33.18620129257803,10
7,broccoli_cauli.jpg,9,50,googlenet,0.028268871901461063,median,0.059003600417072435,0.016091668494895562,33.18620129257803,10
8,broccoli_cauli.jpg,9,50,googlenet,-0.03195945140521963,median,0.059003600417072435,0.016091668494895562,33.18620129257803,10
0,broccoli_cauli.jpg,9,100,googlenet,-0.03630472648031925,255,0.06921622775684345,0.0151764075926004,34.3941889293684,10
1,broccoli_cauli.jpg,9,100,googlenet,0.0628958135309328,255,0.06921622775684345,0.0151764075926004,34.3941889293684,10
2,broccoli_cauli.jpg,9,100,googlenet,0.019213795591664553,255,0.06921622775684345,0.0151764075926004,34.3941889293684,10
3,broccoli_cauli.jpg,9,100,googlenet,0.033016401401461226,255,0.06921622775684345,0.0151764075926004,34.3941889293684,10
4,broccoli_cauli.jpg,9,100,googlenet,-0.053946006995227294,255,0.06921622775684345,0.0151764075926004,34.3941889293684,10
5,broccoli_cauli.jpg,9,100,googlenet,-0.05402012213222737,255,0.06921622775684345,0.0151764075926004,34.3941889293684,10
6,broccoli_cauli.jpg,9,100,googlenet,0.020926522042147656,255,0.06921622775684345,0.0151764075926004,34.3941889293684,10
7,broccoli_cauli.jpg,9,100,googlenet,0.047991681924320025,255,0.06921622775684345,0.0151764075926004,34.3941889293684,10
8,broccoli_cauli.jpg,9,100,googlenet,-0.0121382202779577,255,0.06921622775684345,0.0151764075926004,34.3941889293684,10
0,broccoli_cauli.jpg,9,100,googlenet,-0.10643431401074238,0,0.09097328137242912,0.031673230220374486,16.990230832377584,10
1,broccoli_cauli.jpg,9,100,googlenet,0.09602754249747256,0,0.09097328137242912,0.031673230220374486,16.990230832377584,10
2,broccoli_cauli.jpg,9,100,googlenet,-0.01777369009419342,0,0.09097328137242912,0.031673230220374486,16.990230832377584,10
3,broccoli_cauli.jpg,9,100,googlenet,0.006944265695709893,0,0.09097328137242912,0.031673230220374486,16.990230832377584,10
4,broccoli_cauli.jpg,9,100,googlenet,-0.0011369331046292529,0,0.09097328137242912,0.031673230220374486,16.990230832377584,10
5,broccoli_cauli.jpg,9,100,googlenet,-0.02465771183545255,0,0.09097328137242912,0.031673230220374486,16.990230832377584,10
6,broccoli_cauli.jpg,9,100,googlenet,-0.01748797807891208,0,0.09097328137242912,0.031673230220374486,16.990230832377584,10
7,broccoli_cauli.jpg,9,100,googlenet,0.12868291951560945,0,0.09097328137242912,0.031673230220374486,16.990230832377584,10
8,broccoli_cauli.jpg,9,100,googlenet,-0.10874049898949316,0,0.09097328137242912,0.031673230220374486,16.990230832377584,10
0,broccoli_cauli.jpg,9,100,googlenet,-0.05401022983639236,mean,0.05666429429221096,0.01640671107207295,31.88509294964724,10
1,broccoli_cauli.jpg,9,100,googlenet,0.06946479265896674,mean,0.05666429429221096,0.01640671107207295,31.88509294964724,10
2,broccoli_cauli.jpg,9,100,googlenet,-0.008361141545597686,mean,0.05666429429221096,0.01640671107207295,31.88509294964724,10
3,broccoli_cauli.jpg,9,100,googlenet,-0.026807052893317827,mean,0.05666429429221096,0.01640671107207295,31.88509294964724,10
4,broccoli_cauli.jpg,9,100,googlenet,0.07276039860953266,mean,0.05666429429221096,0.01640671107207295,31.88509294964724,10
5,broccoli_cauli.jpg,9,100,googlenet,-0.05617254942089709,mean,0.05666429429221096,0.01640671107207295,31.88509294964724,10
6,broccoli_cauli.jpg,9,100,googlenet,0.0038174531288130012,mean,0.05666429429221096,0.01640671107207295,31.88509294964724,10
7,broccoli_cauli.jpg,9,100,googlenet,0.0204312174819827,mean,0.05666429429221096,0.01640671107207295,31.88509294964724,10
8,broccoli_cauli.jpg,9,100,googlenet,-0.01748755080825455,mean,0.05666429429221096,0.01640671107207295,31.88509294964724,10
0,broccoli_cauli.jpg,9,1000,googlenet,-0.014107753250123981,255,0.06701239429492749,0.01146818416274451,43.499783659143844,10
1,broccoli_cauli.jpg,9,1000,googlenet,0.02778025050284196,255,0.06701239429492749,0.01146818416274451,43.499783659143844,10
2,broccoli_cauli.jpg,9,1000,googlenet,0.0014990767304333564,255,0.06701239429492749,0.01146818416274451,43.499783659143844,10
3,broccoli_cauli.jpg,9,1000,googlenet,0.00918802336589632,255,0.06701239429492749,0.01146818416274451,43.499783659143844,10
4,broccoli_cauli.jpg,9,1000,googlenet,-0.012197099869285934,255,0.06701239429492749,0.01146818416274451,43.499783659143844,10
5,broccoli_cauli.jpg,9,1000,googlenet,-0.022700255216948295,255,0.06701239429492749,0.01146818416274451,43.499783659143844,10
6,broccoli_cauli.jpg,9,1000,googlenet,0.052629823922840366,255,0.06701239429492749,0.01146818416274451,43.499783659143844,10
7,broccoli_cauli.jpg,9,1000,googlenet,0.033656850575792825,255,0.06701239429492749,0.01146818416274451,43.499783659143844,10
8,broccoli_cauli.jpg,9,1000,googlenet,-0.021768948204572647,255,0.06701239429492749,0.01146818416274451,43.499783659143844,10
0,broccoli_cauli.jpg,9,1000,googlenet,-0.03050222472230147,0,0.07581562895947619,0.016647039237635577,31.247429325469245,10
1,broccoli_cauli.jpg,9,1000,googlenet,0.07287668079055995,0,0.07581562895947619,0.016647039237635577,31.247429325469245,10
2,broccoli_cauli.jpg,9,1000,googlenet,0.024476440015744644,0,0.07581562895947619,0.016647039237635577,31.247429325469245,10
3,broccoli_cauli.jpg,9,1000,googlenet,-0.01799175030372868,0,0.07581562895947619,0.016647039237635577,31.247429325469245,10
4,broccoli_cauli.jpg,9,1000,googlenet,0.0035104808185643967,0,0.07581562895947619,0.016647039237635577,31.247429325469245,10
5,broccoli_cauli.jpg,9,1000,googlenet,-0.03647720981562148,0,0.07581562895947619,0.016647039237635577,31.247429325469245,10
6,broccoli_cauli.jpg,9,1000,googlenet,0.035298133039364916,0,0.07581562895947619,0.016647039237635577,31.247429325469245,10
7,broccoli_cauli.jpg,9,1000,googlenet,0.012385281570313343,0,0.07581562895947619,0.016647039237635577,31.247429325469245,10
8,broccoli_cauli.jpg,9,1000,googlenet,-0.009981378936068966,0,0.07581562895947619,0.016647039237635577,31.247429325469245,10
0,broccoli_cauli.jpg,9,100,googlenet,-0.02328775695239392,median,0.04167651172448605,0.01284693232832517,36.5626749841041,10
1,broccoli_cauli.jpg,9,100,googlenet,0.06765145549216105,median,0.04167651172448605,0.01284693232832517,36.5626749841041,10
2,broccoli_cauli.jpg,9,100,googlenet,-0.016046013771359544,median,0.04167651172448605,0.01284693232832517,36.5626749841041,10
3,broccoli_cauli.jpg,9,100,googlenet,-0.019602415366228525,median,0.04167651172448605,0.01284693232832517,36.5626749841041,10
4,broccoli_cauli.jpg,9,100,googlenet,0.03958081461563299,median,0.04167651172448605,0.01284693232832517,36.5626749841041,10
5,broccoli_cauli.jpg,9,100,googlenet,-0.05283937299940973,median,0.04167651172448605,0.01284693232832517,36.5626749841041,10
6,broccoli_cauli.jpg,9,100,googlenet,0.0033420632898197074,median,0.04167651172448605,0.01284693232832517,36.5626749841041,10
7,broccoli_cauli.jpg,9,100,googlenet,0.007606883389872437,median,0.04167651172448605,0.01284693232832517,36.5626749841041,10
8,broccoli_cauli.jpg,9,100,googlenet,-0.03152667201884589,median,0.04167651172448605,0.01284693232832517,36.5626749841041,10
0,broccoli_cauli.jpg,9,1000,googlenet,-0.01772963742690773,mean,0.05793680001103006,0.010640825894057106,48.52856348203072,10
1,broccoli_cauli.jpg,9,1000,googlenet,0.05285027975924829,mean,0.05793680001103006,0.010640825894057106,48.52856348203072,10
2,broccoli_cauli.jpg,9,1000,googlenet,0.0073875014437838294,mean,0.05793680001103006,0.010640825894057106,48.52856348203072,10
3,broccoli_cauli.jpg,9,1000,googlenet,-0.028509816707200403,mean,0.05793680001103006,0.010640825894057106,48.52856348203072,10
4,broccoli_cauli.jpg,9,1000,googlenet,0.0128305967052335,mean,0.05793680001103006,0.010640825894057106,48.52856348203072,10
5,broccoli_cauli.jpg,9,1000,googlenet,-0.021097180471161738,mean,0.05793680001103006,0.010640825894057106,48.52856348203072,10
6,broccoli_cauli.jpg,9,1000,googlenet,0.013724895132247254,mean,0.05793680001103006,0.010640825894057106,48.52856348203072,10
7,broccoli_cauli.jpg,9,1000,googlenet,0.03636925375328364,mean,0.05793680001103006,0.010640825894057106,48.52856348203072,10
8,broccoli_cauli.jpg,9,1000,googlenet,-0.02201547282764261,mean,0.05793680001103006,0.010640825894057106,48.52856348203072,10
