,image,superpixels,compactness,model,shap_value,background,predicted,predicted_variance,error term
6,Llama.png,9,1000,visiontransformer,0.0844028823628172,mean,0.9325303236949204,0.03663667580865846,14.25291304784065
7,Llama.png,9,1000,visiontransformer,0.1359462505136204,mean,0.9325303236949204,0.03663667580865846,14.25291304784065
8,Llama.png,9,1000,visiontransformer,0.11121249161487409,mean,0.9325303236949204,0.03663667580865846,14.25291304784065
0,Llama.png,12,10,visiontransformer,0.04509766306393087,0,0.9002491273528188,0.06129200947216745,9.05238959798014
1,Llama.png,12,10,visiontransformer,0.02319328246089359,0,0.9002491273528188,0.06129200947216745,9.05238959798014
2,Llama.png,12,10,visiontransformer,0.01769584255007986,0,0.9002491273528188,0.06129200947216745,9.05238959798014
3,Llama.png,12,10,visiontransformer,0.5983060248879761,0,0.9002491273528188,0.06129200947216745,9.05238959798014
4,Llama.png,12,10,visiontransformer,0.05126993635993604,0,0.9002491273528188,0.06129200947216745,9.05238959798014
5,Llama.png,12,10,visiontransformer,0.02705908024241215,0,0.9002491273528188,0.06129200947216745,9.05238959798014
6,Llama.png,12,10,visiontransformer,0.016003061326380505,0,0.9002491273528188,0.06129200947216745,9.05238959798014
7,Llama.png,12,10,visiontransformer,0.005503579146787993,0,0.9002491273528188,0.06129200947216745,9.05238959798014
8,Llama.png,12,10,visiontransformer,0.024101916164911932,0,0.9002491273528188,0.06129200947216745,9.05238959798014
9,Llama.png,12,10,visiontransformer,0.03372067848038452,0,0.9002491273528188,0.06129200947216745,9.05238959798014
10,Llama.png,12,10,visiontransformer,0.07246185811250319,0,0.9002491273528188,0.06129200947216745,9.05238959798014
11,Llama.png,12,10,visiontransformer,-0.01309926375674407,0,0.9002491273528188,0.06129200947216745,9.05238959798014
0,Llama.png,12,10,visiontransformer,0.2217482940064322,mean,0.9077278042130603,0.07225905939848071,7.725135960600413
1,Llama.png,12,10,visiontransformer,-0.04053391661856856,mean,0.9077278042130603,0.07225905939848071,7.725135960600413
2,Llama.png,12,10,visiontransformer,-0.0732550890338268,mean,0.9077278042130603,0.07225905939848071,7.725135960600413
3,Llama.png,12,10,visiontransformer,0.5081090337241828,mean,0.9077278042130603,0.07225905939848071,7.725135960600413
4,Llama.png,12,10,visiontransformer,0.3701222791399619,mean,0.9077278042130603,0.07225905939848071,7.725135960600413
5,Llama.png,12,10,visiontransformer,-0.05624253046123489,mean,0.9077278042130603,0.07225905939848071,7.725135960600413
6,Llama.png,12,10,visiontransformer,-0.039364066890739555,mean,0.9077278042130603,0.07225905939848071,7.725135960600413
